,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
0,cod_aula,nom_aula,nom_corto_aula,nom_plantilla,res_aula,nom_categoria,id_categoria,id_programa,id_division
1,20232_31009_30611_PRO IXD IV,PROGRAMACION IXD IV_PRO IXD IV(),20232_31009_30611_PRO IXD IV,20232_31009,PROGRAMACION IXD IV_PRO IXD IV(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 5,20232_31009_5,20232_31009,20232_35
2,20232_32080_99243_ADMI ORGAN,ADMINISTRACIÓN DE ORGANISMOS DEPORTIVOS_ADMI ORGAN(),20232_32080_99243_ADMI ORGAN,20232_32080,ADMINISTRACIÓN DE ORGANISMOS DEPORTIVOS_ADMI ORGAN(20232),20232/CIENCIAS DE LA SALUD -TUNJA/CULTURA FÍSICA DEPORTE Y RECREACIÓN JORNADA DIURNA/NIVEL 6,20232_32080_6,20232_32080,20232_36
3,20232_30002_95085_ARQB5,INGLES V_ARQB5(),20232_30002_95085_ARQB5,20232_30002,INGLES V_ARQB5(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 5,20232_30002_5,20232_30002,20232_12
4,20232_30002_95085_AMBIND5,INGLES V_AMBIND5(),20232_30002_95085_AMBIND5,20232_30002,INGLES V_AMBIND5(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 5,20232_30002_5,20232_30002,20232_12
5,20232_30002_95145_DER7A,IDIOMA EXTRANJERO VII_DER7A(),20232_30002_95145_DER7A,20232_30002,IDIOMA EXTRANJERO VII_DER7A(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 7,20232_30002_7,20232_30002,20232_12
6,20232_30002_95344_ADMCOND2,INGLES II_ADMCOND2(),20232_30002_95344_ADMCOND2,20232_30002,INGLES II_ADMCOND2(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 2,20232_30002_2,20232_30002,20232_12
7,20232_30002_95127_CIVB2,IDIOMA EXTRANJERO II_CIVB2(),20232_30002_95127_CIVB2,20232_30002,IDIOMA EXTRANJERO II_CIVB2(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 2,20232_30002_2,20232_30002,20232_12
8,20232_30002_20821_LEGA1,IDIOMA EXTRANJERO LEGAL I_LEGA1(),20232_30002_20821_LEGA1,20232_30002,IDIOMA EXTRANJERO LEGAL I_LEGA1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 9,20232_30002_9,20232_30002,20232_12
9,20232_30002_95081_ARQ1B,INGLES  I_ARQ1B(),20232_30002_95081_ARQ1B,20232_30002,INGLES  I_ARQ1B(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 1,20232_30002_1,20232_30002,20232_12
10,20232_30002_95084_SISTB4,INGLES IV_SISTB4(),20232_30002_95084_SISTB4,20232_30002,INGLES IV_SISTB4(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 4,20232_30002_4,20232_30002,20232_12
